ASN,numIPs,numMineCraftServers,percentage
AS14615,255232,17,0.0067
AS15763,104448,17,0.0163
AS16904,126720,17,0.0134
AS17306,602624,17,0.0028
AS206170,6400,17,0.2656
AS213155,376832,17,0.0045
AS21409,58624,17,0.0290
AS214409,256,17,6.6406
AS23700,2267136,17,0.0007
AS24651,103680,17,0.0164
AS24806,46336,17,0.0367
AS25668,128512,17,0.0132
AS2852,858112,17,0.0020
AS34244,58112,17,0.0293
AS40065,636416,17,0.0027
AS41508,11264,17,0.1509
AS44735,47104,17,0.0361
AS48282,25088,17,0.0678
AS56106,3328,17,0.5108
AS56655,6912,17,0.2459
AS60631,14592,17,0.1165
AS6810,276736,17,0.0061
AS11090,68096,16,0.0235
AS11272,271104,16,0.0059
AS11550,51456,16,0.0311
AS12390,262400,16,0.0061
AS14291,54016,16,0.0296
AS15353,1536,16,1.0417
AS18796,512,16,3.1250
AS197524,52224,16,0.0306
AS199636,37888,16,0.0422
AS201364,2816,16,0.5682
AS207451,256,16,6.2500
AS208102,1024,16,1.5625
AS21021,634624,16,0.0025
AS212396,2816,16,0.5682
AS21263,47872,16,0.0334
AS214320,256,16,6.2500
AS30041,47616,16,0.0336
AS3329,2410240,16,0.0007
AS396338,88576,16,0.0181
AS397031,7168,16,0.2232
AS400619,176384,16,0.0091
AS400810,5632,16,0.2841
AS42831,123648,16,0.0129
AS43581,6145,16,0.2604
AS45458,301312,16,0.0053
AS49808,48384,16,0.0331
AS50131,14336,16,0.1116
AS53407,15360,16,0.1042
AS61998,3072,16,0.5208
AS8308,313344,16,0.0051
AS8796,253184,16,0.0063
AS13370,64000,15,0.0234
AS139659,18688,15,0.0803
AS140815,18432,15,0.0814
AS142299,7168,15,0.2093
AS15440,57600,15,0.0260
AS15962,359936,15,0.0042
AS1659,6082304,15,0.0002
AS18081,868352,15,0.0017
AS198440,27392,15,0.0548
AS198930,34816,15,0.0431
AS200202,512,15,2.9297
AS201814,28672,15,0.0523
AS202613,34816,15,0.0431
AS205090,8704,15,0.1723
AS207375,26112,15,0.0574
AS210030,512,15,2.9297
AS214915,512,15,2.9297
AS215365,768,15,1.9531
AS23304,9984,15,0.1502
AS27176,20992,15,0.0715
AS32277,62976,15,0.0238
AS33885,118784,15,0.0126
AS395662,73216,15,0.0205
AS39608,275712,15,0.0054
AS40029,50176,15,0.0299
AS44592,15360,15,0.0977
AS47447,38400,15,0.0391
AS4780,4989696,15,0.0003
AS54936,97792,15,0.0153
AS6821,557312,15,0.0027
AS9534,1154048,15,0.0013
AS9617,2326528,15,0.0006
AS12414,188160,14,0.0074
AS13614,78080,14,0.0179
AS18144,291840,14,0.0048
AS197649,768,14,1.8229
AS198726,24064,14,0.0582
AS20135,64256,14,0.0218
AS202448,17664,14,0.0793
AS204997,10240,14,0.1367
AS208621,2304,14,0.6076
AS212607,512,14,2.7344
